language,algorithm,instance_id,case,n,run,target,sum_values,exists,recursive_calls,time_seconds,time_ms
Java,Backtracking,1,best,8,1,1000,3567,true,2,0.0000235000,0.023500
Java,Backtracking,2,best,8,2,1000,2515,true,2,0.0000065990,0.006599
Java,Backtracking,3,best,8,3,1000,2684,true,2,0.0000039010,0.003901
Java,Backtracking,4,best,8,4,1000,2291,true,2,0.0000005000,0.000500
Java,Backtracking,5,best,8,5,1000,3039,true,2,0.0000005000,0.000500
Java,Backtracking,6,best,8,6,1000,2399,true,2,0.0000006010,0.000601
Java,Backtracking,7,best,8,7,1000,3111,true,2,0.0000005000,0.000500
Java,Backtracking,8,best,8,8,1000,2551,true,2,0.0000006000,0.000600
Java,Backtracking,9,best,8,9,1000,3156,true,2,0.0000214000,0.021400
Java,Backtracking,10,best,8,10,1000,2446,true,2,0.0000007010,0.000701
Java,Backtracking,11,best,8,11,1000,3517,true,2,0.0000026000,0.002600
Java,Backtracking,12,best,8,12,1000,3161,true,2,0.0000031000,0.003100
Java,Backtracking,13,best,8,13,1000,2284,true,2,0.0000001000,0.000100
Java,Backtracking,14,best,8,14,1000,2333,true,2,0.0000002000,0.000200
Java,Backtracking,15,best,8,15,1000,2777,true,2,0.0000001000,0.000100
Java,Backtracking,16,best,8,16,1000,2788,true,2,0.0000002000,0.000200
Java,Backtracking,17,best,8,17,1000,3147,true,2,0.0000002000,0.000200
Java,Backtracking,18,best,8,18,1000,2812,true,2,0.0000002000,0.000200
Java,Backtracking,19,best,8,19,1000,2028,true,2,0.0000002000,0.000200
Java,Backtracking,20,best,8,20,1000,3072,true,2,0.0000004000,0.000400
Java,Backtracking,21,best,8,21,1000,3108,true,2,0.0000002000,0.000200
Java,Backtracking,22,best,8,22,1000,2821,true,2,0.0000001000,0.000100
Java,Backtracking,23,best,8,23,1000,2854,true,2,0.0000002000,0.000200
Java,Backtracking,24,best,8,24,1000,3262,true,2,0.0000001000,0.000100
Java,Backtracking,25,best,8,25,1000,2961,true,2,0.0000002000,0.000200
Java,Backtracking,26,best,8,26,1000,2272,true,2,0.0000002000,0.000200
Java,Backtracking,27,best,8,27,1000,2727,true,2,0.0000002000,0.000200
Java,Backtracking,28,best,8,28,1000,3008,true,2,0.0000002000,0.000200
Java,Backtracking,29,best,8,29,1000,3103,true,2,0.0000001000,0.000100
Java,Backtracking,30,best,8,30,1000,2779,true,2,0.0000002000,0.000200
Java,Backtracking,31,best,10,1,1000,2895,true,2,0.0000001000,0.000100
Java,Backtracking,32,best,10,2,1000,3023,true,2,0.0000001000,0.000100
Java,Backtracking,33,best,10,3,1000,3076,true,2,0.0000002000,0.000200
Java,Backtracking,34,best,10,4,1000,3766,true,2,0.0000001000,0.000100
Java,Backtracking,35,best,10,5,1000,3246,true,2,0.0000001000,0.000100
Java,Backtracking,36,best,10,6,1000,2998,true,2,0.0000001000,0.000100
Java,Backtracking,37,best,10,7,1000,3819,true,2,0.0000002000,0.000200
Java,Backtracking,38,best,10,8,1000,3156,true,2,0.0000001000,0.000100
Java,Backtracking,39,best,10,9,1000,3420,true,2,0.0000002000,0.000200
Java,Backtracking,40,best,10,10,1000,3149,true,2,0.0000002000,0.000200
Java,Backtracking,41,best,10,11,1000,3176,true,2,0.0000001000,0.000100
Java,Backtracking,42,best,10,12,1000,2976,true,2,0.0000002000,0.000200
Java,Backtracking,43,best,10,13,1000,3309,true,2,0.0000002000,0.000200
Java,Backtracking,44,best,10,14,1000,2716,true,2,0.0000003000,0.000300
Java,Backtracking,45,best,10,15,1000,3096,true,2,0.0000001990,0.000199
Java,Backtracking,46,best,10,16,1000,3299,true,2,0.0000002000,0.000200
Java,Backtracking,47,best,10,17,1000,3368,true,2,0.0000002000,0.000200
Java,Backtracking,48,best,10,18,1000,3561,true,2,0.0000002000,0.000200
Java,Backtracking,49,best,10,19,1000,3893,true,2,0.0000001000,0.000100
Java,Backtracking,50,best,10,20,1000,3425,true,2,0.0000001000,0.000100
Java,Backtracking,51,best,10,21,1000,3011,true,2,0.0000001000,0.000100
Java,Backtracking,52,best,10,22,1000,2569,true,2,0.0000001990,0.000199
Java,Backtracking,53,best,10,23,1000,3206,true,2,0.0000002000,0.000200
Java,Backtracking,54,best,10,24,1000,4150,true,2,0.0000002000,0.000200
Java,Backtracking,55,best,10,25,1000,3260,true,2,0.0000001000,0.000100
